"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,2,NA,2,NA,NA,NA
2020-03-22,9,NA,9,NA,NA,NA
2020-03-29,14,NA,14,NA,NA,NA
2020-04-05,29,NA,29,NA,NA,NA
2020-04-12,23,NA,23,NA,NA,NA
2020-04-19,25,NA,25,NA,NA,NA
2020-04-26,39,NA,39,NA,NA,NA
2020-05-03,45,NA,45,NA,NA,NA
2020-05-10,66,NA,66,NA,NA,NA
2020-05-17,43,NA,43,NA,NA,NA
2020-05-24,59,NA,59,NA,NA,NA
2020-05-31,38,NA,38,NA,NA,NA
2020-06-07,60,NA,60,NA,NA,NA
2020-06-14,45,NA,45,NA,NA,NA
2020-06-21,31,NA,31,NA,NA,NA
2020-06-28,31,NA,31,NA,NA,NA
2020-07-05,19,NA,19,NA,NA,NA
2020-07-12,20,NA,20,NA,NA,NA
2020-07-19,14,NA,14,NA,NA,NA
2020-07-26,12,NA,12,NA,NA,NA
2020-08-02,18,NA,18,NA,NA,NA
2020-08-09,18,NA,18,NA,NA,NA
2020-08-16,16,NA,16,NA,NA,NA
2020-08-23,6,NA,6,NA,NA,NA
2020-08-30,6,NA,6,NA,NA,NA
2020-09-06,9,NA,9,NA,NA,NA
2020-09-13,8,NA,8,NA,NA,NA
2020-09-20,10,NA,10,NA,NA,NA
2020-09-27,3,NA,3,NA,NA,NA
2020-10-04,NA,8,8,NA,8,10
2020-10-11,NA,15,15,NA,13,23
2020-10-18,NA,19,19,NA,14,30
2020-10-25,NA,38,38,NA,26,63
2020-11-01,NA,30,30,NA,17,56
2020-11-08,NA,45,45,NA,25,89
2020-11-15,NA,72,72,NA,34,165
2020-11-22,NA,63,63,NA,20,190.025
2020-11-29,NA,59,59,NA,10,284.025
