dt_int,observed,estimate,upper,lower
2020-04-02,2,2,2,2
2020-04-04,2,2,2,2
2020-04-05,1,1,1,1
2020-04-07,1,1,1,1
2020-04-09,2,2,2,2
2020-04-15,1,1,1,1
2020-04-17,2,2,2,2
2020-04-20,1,1,1,1
2020-04-21,1,1,1,1
2020-04-23,1,1,1,1
2020-04-24,1,1,1,1
2020-04-26,2,2,2,2
2020-04-27,2,2,2,2
2020-04-30,1,1,1,1
2020-05-02,1,1,1,1
2020-05-04,1,1,1,1
2020-05-06,1,1,1,1
2020-05-08,1,1,1,1
2020-05-09,1,1,3,2
2020-05-14,2,2,3,2
2020-05-15,1,1,2,1
2020-05-17,1,3,7,3
2020-05-18,1,1,1,2
2020-05-19,3,4,6,4
2020-05-20,2,6,3,2
2020-05-21,1,1,3,3
2020-05-22,2,3,5,2
2020-05-23,1,3,7,3
2020-05-24,2,3,3,3
2020-05-25,1,2,5,3
2020-05-26,4,5,8,5
2020-05-27,1,2,4,3
2020-05-28,1,2,6,2
2020-05-29,1,3,6,2
2020-05-31,2,2,7,2
2020-06-01,3,3,9,5
2020-06-03,1,1,8,1
2020-06-05,1,1,5,2
2020-06-06,3,4,9,3
2020-06-07,1,1,9,3
2020-06-08,3,4,8,4
2020-06-11,2,3,15,3
2020-06-12,3,3,13,3
2020-06-13,2,3,14,2
2020-06-14,1,1,8,1
2020-06-15,4,4,7,4
2020-06-16,1,1,8,1
2020-06-18,2,2,6,2
2020-05-12,NA,1,NA,1
2020-05-13,NA,2,NA,NA
2020-05-16,NA,1,1,1
2020-05-30,NA,2,4,1
2020-06-02,NA,1,5,1
2020-06-04,NA,1,3,NA
2020-06-10,NA,1,9,NA
2020-06-09,NA,NA,6,NA
2020-06-17,NA,NA,8,NA
2020-06-19,NA,NA,6,1
2020-06-20,NA,NA,4,NA
2020-06-21,NA,NA,4,NA
2020-06-22,NA,NA,4,NA
2020-06-23,NA,NA,3,NA
2020-05-11,NA,NA,NA,1
